,precision,recall,f1-score,support
angry,0.7379310344827587,0.7379310344827587,0.7379310344827587,290.0
calm,0.5714285714285714,0.7619047619047619,0.6530612244897959,21.0
disgust,0.5611510791366906,0.5454545454545454,0.5531914893617021,286.0
fear,0.6589861751152074,0.4880546075085324,0.5607843137254902,293.0
happy,0.5015290519877675,0.6142322097378277,0.5521885521885522,267.0
neutral,0.546031746031746,0.6640926640926641,0.5993031358885017,259.0
sad,0.6884615384615385,0.5946843853820598,0.6381461675579323,301.0
surprise,0.8454545454545455,0.8611111111111112,0.8532110091743119,108.0
accuracy,0.623013698630137,0.623013698630137,0.623013698630137,0.623013698630137
macro avg,0.6388717177623532,0.6584331649592826,0.6434771158586305,1825.0
weighted avg,0.6320211786470245,0.623013698630137,0.6230791762457699,1825.0
